"county","state","median_income","cum_county","cum_median_income"
"Goochland","Virginia","118,695","1.55%","3.16%"
"Westchester","New York","118,411","1.58%","3.22%"
"Hamilton","Indiana","117,957","1.61%","3.27%"
"Manassas city","Virginia","117,919","1.64%","3.33%"
"Collin","Texas","117,588","1.67%","3.39%"
"Oconee","Georgia","115,925","1.7%","3.44%"
"Carroll","Maryland","115,876","1.73%","3.5%"
"Wasatch","Utah","115,146","1.76%","3.55%"
"Placer","California","114,678","1.79%","3.61%"
"St. Mary's","Maryland","114,580","1.82%","3.66%"
"Washington","Minnesota","114,457","1.85%","3.72%"
"Sussex","New Jersey","114,316","1.89%","3.77%"
"Clarke","Virginia","114,185","1.92%","3.82%"
"Rockingham","New Hampshire","113,927","1.95%","3.88%"
"Orange","California","113,702","1.98%","3.93%"
"Alexandria city","Virginia","113,638","2.01%","3.99%"
"Fort Bend","Texas","113,409","2.04%","4.04%"
"Queen Anne's","Maryland","113,347","2.07%","4.1%"
"Teton","Wyoming","112,681","2.1%","4.15%"
"Bucks","Pennsylvania","111,951","2.13%","4.2%"
"Montgomery","Pennsylvania","111,521","2.16%","4.26%"
"Harford","Maryland","111,317","2.19%","4.31%"
"Bristol","Rhode Island","110,926","2.23%","4.36%"
"Alpine","California","110,781","2.26%","4.42%"
"Powhatan","Virginia","110,667","2.29%","4.47%"
"Rockland","New York","110,631","2.32%","4.52%"
"King George","Virginia","110,517","2.35%","4.57%"
"DuPage","Illinois","110,502","2.38%","4.63%"
"Kendall","Texas","110,498","2.41%","4.68%"
"Kendall","Illinois","110,474","2.44%","4.73%"
"Plymouth","Massachusetts","109,698","2.47%","4.78%"
"Spotsylvania","Virginia","109,576","2.5%","4.84%"
"Union","Ohio","109,506","2.53%","4.89%"
"Hanover","Virginia","109,504","2.57%","4.94%"
"Santa Cruz","California","109,266","2.6%","4.99%"
"Middlesex","New Jersey","109,028","2.63%","5.05%"
"Fayette","Georgia","108,986","2.66%","5.1%"
"Napa","California","108,970","2.69%","5.15%"
"Lake","Illinois","108,917","2.72%","5.2%"
"York","Virginia","108,326","2.75%","5.25%"
"Williamson","Texas","108,309","2.78%","5.31%"
"San Benito","California","108,289","2.81%","5.36%"
"Denton","Texas","108,185","2.84%","5.41%"
"Chambers","Texas","108,114","2.87%","5.46%"
"Davis","Utah","108,058","2.91%","5.51%"
"Snohomish","Washington","107,982","2.94%","5.56%"
"Warren","Ohio","107,843","2.97%","5.61%"
"Jefferson","Colorado","107,800","3%","5.67%"
"Will","Illinois","107,799","3.03%","5.72%"
"Aleutians West Census Area","Alaska","107,344","3.06%","5.77%"
"Ventura","California","107,327","3.09%","5.82%"
"Johnson","Kansas","107,261","3.12%","5.87%"
"James City","Virginia","107,046","3.15%","5.92%"
"Glasscock","Texas","106,806","3.18%","5.97%"
"Wright","Minnesota","106,666","3.21%","6.02%"
"District of Columbia","District of Columbia","106,287","3.25%","6.08%"
"Summit","Colorado","106,255","3.28%","6.13%"
"El Dorado","California","106,190","3.31%","6.18%"
"St. Johns","Florida","106,169","3.34%","6.23%"
"Cherokee","Georgia","105,442","3.37%","6.28%"
"Burlington","New Jersey","105,271","3.4%","6.33%"
"Dakota","Minnesota","105,212","3.43%","6.38%"
"Boone","Indiana","104,865","3.46%","6.43%"
"Routt","Colorado","104,803","3.49%","6.48%"
"New York","New York","104,553","3.52%","6.53%"
"Washington","Oregon","104,434","3.55%","6.58%"
"Honolulu","Hawaii","104,264","3.59%","6.63%"
"Waukesha","Wisconsin","104,100","3.62%","6.68%"
"Eagle","Colorado","103,174","3.65%","6.73%"
"Sherburne","Minnesota","102,965","3.68%","6.78%"
"St. Charles","Missouri","102,912","3.71%","6.82%"
"Sonoma","California","102,840","3.74%","6.87%"
"McHenry","Illinois","102,836","3.77%","6.92%"
"Gloucester","New Jersey","102,807","3.8%","6.97%"
"Boulder","Colorado","102,772","3.83%","7.02%"
"Albemarle","Virginia","102,617","3.86%","7.07%"
"St. Croix","Wisconsin","102,482","3.89%","7.12%"
"Washington","Rhode Island","102,478","3.93%","7.17%"
"Dallas","Iowa","102,349","3.96%","7.22%"
"Dukes","Massachusetts","102,348","3.99%","7.27%"
"San Diego","California","102,285","4.02%","7.31%"
"Parker","Texas","102,099","4.05%","7.36%"
"Tooele","Utah","101,846","4.08%","7.41%"
"Wake","North Carolina","101,763","4.11%","7.46%"
"Monroe","Illinois","101,635","4.14%","7.51%"
"Sarpy","Nebraska","101,402","4.17%","7.56%"
"Livingston","Michigan","101,315","4.2%","7.61%"
"Sitka City and Borough","Alaska","101,207","4.23%","7.65%"
"Lower Connecticut River Valley Planning Region","Connecticut","101,117","4.27%","7.7%"
"Newport","Rhode Island","100,859","4.3%","7.75%"
"Geauga","Ohio","100,783","4.33%","7.8%"
"Prince George's","Maryland","100,708","4.36%","7.85%"
"Kane","Illinois","100,678","4.39%","7.89%"
"Manassas Park city","Virginia","100,668","4.42%","7.94%"
"Bristol Bay Borough","Alaska","100,625","4.45%","7.99%"
"Juneau City and Borough","Alaska","100,513","4.48%","8.04%"
"Hillsborough","New Hampshire","100,436","4.51%","8.09%"
"Clackamas","Oregon","100,360","4.54%","8.13%"
"Pitkin","Colorado","100,318","4.57%","8.18%"
"Union","New Jersey","100,117","4.61%","8.23%"
"Solano","California","99,994","4.64%","8.28%"
"Hendricks","Indiana","99,988","4.67%","8.33%"
"Saratoga","New York","99,653","4.7%","8.37%"
"Warren","New Jersey","99,596","4.73%","8.42%"
"Essex","Massachusetts","99,431","4.76%","8.47%"
"Union","North Carolina","99,243","4.79%","8.52%"
"Comal","Texas","99,015","4.82%","8.56%"
"Chesterfield","Virginia","98,910","4.85%","8.61%"
"Anoka","Minnesota","98,764","4.88%","8.66%"
"Cobb","Georgia","98,712","4.91%","8.7%"
"Kitsap","Washington","98,546","4.95%","8.75%"
"Spencer","Kentucky","98,333","4.98%","8.8%"
"Richmond","New York","98,290","5.01%","8.85%"
"Chisago","Minnesota","98,260","5.04%","8.89%"
"Anchorage Municipality","Alaska","98,152","5.07%","8.94%"
"Rappahannock","Virginia","98,125","5.1%","8.99%"
"Dutchess","New York","97,273","5.13%","9.03%"
"Montgomery","Texas","97,266","5.16%","9.08%"
"Arapahoe","Colorado","97,215","5.19%","9.13%"
"Travis","Texas","97,169","5.22%","9.17%"
"Utah","Utah","96,877","5.26%","9.22%"
"Ozaukee","Wisconsin","96,734","5.29%","9.26%"
"Clear Creek","Colorado","96,667","5.32%","9.31%"
"Pierce","Washington","96,632","5.35%","9.36%"
"Lincoln","South Dakota","96,552","5.38%","9.4%"
"Orange","New York","96,497","5.41%","9.45%"
"Hennepin","Minnesota","96,339","5.44%","9.49%"
"Burke","North Dakota","96,339","5.47%","9.54%"
"Mercer","New Jersey","96,333","5.5%","9.59%"
"Columbia","Georgia","96,122","5.53%","9.63%"
"Isle of Wight","Virginia","96,118","5.56%","9.68%"
"Culpeper","Virginia","96,098","5.6%","9.72%"
"Storey","Nevada","96,000","5.63%","9.77%"
"Santa Barbara","California","95,977","5.66%","9.82%"
"Ellis","Texas","95,898","5.69%","9.86%"
"Washington","Wisconsin","95,851","5.72%","9.91%"
"Platte","Missouri","95,748","5.75%","9.95%"
"Frederick","Virginia","95,603","5.78%","10%"
"Jefferson","West Virginia","95,523","5.81%","10.04%"
"Park","Colorado","95,450","5.84%","10.09%"
"Oakland","Michigan","95,296","5.87%","10.14%"
"Campbell","Wyoming","95,253","5.9%","10.18%"
"Brazoria","Texas","95,155","5.94%","10.23%"
"Maui","Hawaii","95,076","5.97%","10.27%"
"Warrick","Indiana","95,027","6%","10.32%"
"Clark","Washington","94,948","6.03%","10.36%"
"Boone","Kentucky","94,752","6.06%","10.41%"
"Dunn","North Dakota","94,688","6.09%","10.45%"
"Salt Lake","Utah","94,658","6.12%","10.5%"
"Paulding","Georgia","94,557","6.15%","10.54%"
"Monterey","California","94,486","6.18%","10.59%"
"Barnstable","Massachusetts","94,452","6.21%","10.63%"
"Chittenden","Vermont","94,310","6.24%","10.68%"
"Bryan","Georgia","94,234","6.28%","10.72%"
"Chesapeake city","Virginia","94,189","6.31%","10.77%"
"Orange","Virginia","94,175","6.34%","10.81%"
"Coweta","Georgia","94,142","6.37%","10.86%"
"Wilson","Tennessee","94,048","6.4%","10.9%"
"Thurston","Washington","93,985","6.43%","10.95%"
"Midland","Texas","93,984","6.46%","10.99%"
"Merrimack","New Hampshire","93,944","6.49%","11.04%"
"Guadalupe","Texas","93,776","6.52%","11.08%"
"Lake","Colorado","93,655","6.55%","11.13%"
"Kauai","Hawaii","93,612","6.58%","11.17%"
"Worcester","Massachusetts","93,561","6.62%","11.22%"
"Shelby","Alabama","93,543","6.65%","11.26%"
"Olmsted","Minnesota","93,494","6.68%","11.31%"
"San Luis Obispo","California","93,398","6.71%","11.35%"
"Weld","Colorado","93,287","6.74%","11.4%"
"Grundy","Illinois","93,060","6.77%","11.44%"
"Warren","Iowa","92,990","6.8%","11.48%"
"Cumberland","Maine","92,983","6.83%","11.53%"
"Dodge","Minnesota","92,943","6.86%","11.57%"
"Suffolk","Massachusetts","92,859","6.89%","11.62%"
"Medina","Ohio","92,660","6.92%","11.66%"
"Wilson","Texas","92,461","6.96%","11.71%"
"Ascension Parish","Louisiana","92,266","6.99%","11.75%"
"Calhoun","Illinois","92,095","7.02%","11.79%"
"Fluvanna","Virginia","91,959","7.05%","11.84%"
"Leelanau","Michigan","91,943","7.08%","11.88%"
"Winkler","Texas","91,898","7.11%","11.93%"
"Denver","Colorado","91,681","7.14%","11.97%"
"Currituck","North Carolina","91,548","7.17%","12.01%"
"Capitol Planning Region","Connecticut","91,541","7.2%","12.06%"
"Fulton","Georgia","91,490","7.23%","12.1%"
"Adams","Colorado","91,387","7.26%","12.14%"
"Larimer","Colorado","91,364","7.3%","12.19%"
"Hancock","Indiana","91,326","7.33%","12.23%"
"Kent","Rhode Island","91,278","7.36%","12.27%"
"Cecil","Maryland","91,146","7.39%","12.32%"
"Northwest Hills Planning Region","Connecticut","91,035","7.42%","12.36%"
"Baltimore","Maryland","90,904","7.45%","12.41%"
"Teton","Idaho","90,740","7.48%","12.45%"
"Virginia Beach city","Virginia","90,685","7.51%","12.49%"
"Matanuska-Susitna Borough","Alaska","90,625","7.54%","12.54%"
"Grand Isle","Vermont","90,625","7.57%","12.58%"
"Williams","North Dakota","90,224","7.6%","12.62%"
"Le Sueur","Minnesota","90,218","7.64%","12.66%"
"Washington","Nebraska","90,188","7.67%","12.71%"
"Schleicher","Texas","90,141","7.7%","12.75%"
"Suffolk city","Virginia","90,089","7.73%","12.79%"
"Skamania","Washington","90,085","7.76%","12.84%"
"Hudson","New Jersey","90,032","7.79%","12.88%"
"New Castle","Delaware","89,901","7.82%","12.92%"
"Wise","Texas","89,897","7.85%","12.97%"
"Benton","Arkansas","89,879","7.88%","13.01%"
"Juab","Utah","89,803","7.91%","13.05%"
"Riverside","California","89,672","7.94%","13.09%"
"Lexington city","Virginia","89,598","7.98%","13.14%"
"Madison","Iowa","89,542","8.01%","13.18%"
"Saunders","Nebraska","89,395","8.04%","13.22%"
"Divide","North Dakota","89,297","8.07%","13.26%"
"Harris","Georgia","89,184","8.1%","13.31%"
"Ketchikan Gateway Borough","Alaska","89,155","8.13%","13.35%"
"Dawson","Georgia","88,986","8.16%","13.39%"
"Santa Rosa","Florida","88,968","8.19%","13.44%"
"Denali Borough","Alaska","88,935","8.22%","13.48%"
"Ada","Idaho","88,907","8.25%","13.52%"
"Nassau","Florida","88,900","8.28%","13.56%"
"Yolo","California","88,818","8.32%","13.6%"
"Pierce","Wisconsin","88,802","8.35%","13.65%"
"Sacramento","California","88,724","8.38%","13.69%"
"Gilpin","Colorado","88,654","8.41%","13.73%"
"Kaufman","Texas","88,606","8.44%","13.77%"
"Delaware","Pennsylvania","88,576","8.47%","13.82%"
"Chugach Census Area","Alaska","88,565","8.5%","13.86%"
"Orange","North Carolina","88,553","8.53%","13.9%"
"Chatham","North Carolina","88,534","8.56%","13.94%"
"San Joaquin","California","88,531","8.59%","13.99%"
"Addison","Vermont","88,478","8.62%","14.03%"
"Island","Washington","88,358","8.66%","14.07%"
"McKenzie","North Dakota","88,289","8.69%","14.11%"
"Traill","North Dakota","88,289","8.72%","14.15%"
"Cass","Nebraska","88,255","8.75%","14.2%"
"Prince George","Virginia","88,225","8.78%","14.24%"
"Dane","Wisconsin","88,108","8.81%","14.28%"
"Cape May","New Jersey","88,046","8.84%","14.32%"
"Lee","Georgia","88,024","8.87%","14.36%"
"Douglas","Nevada","88,018","8.9%","14.41%"
"Miami","Kansas","88,000","8.93%","14.45%"
"Belknap","New Hampshire","87,983","8.96%","14.49%"
"Mills","Iowa","87,810","9%","14.53%"
"Camden","North Carolina","87,781","9.03%","14.57%"
"Los Angeles","California","87,760","9.06%","14.62%"
"Calumet","Wisconsin","87,700","9.09%","14.66%"
"Pottawatomie","Kansas","87,694","9.12%","14.7%"
"Deschutes","Oregon","87,640","9.15%","14.74%"
"Northeastern Connecticut Planning Region","Connecticut","87,564","9.18%","14.78%"
"Blanco","Texas","87,564","9.21%","14.83%"
"Weston","Wyoming","87,545","9.24%","14.87%"
"Piatt","Illinois","87,516","9.27%","14.91%"
"El Paso","Colorado","87,470","9.3%","14.95%"
"Gallatin","Montana","87,454","9.34%","14.99%"
"Cass","Missouri","87,413","9.37%","15.03%"
"West Baton Rouge Parish","Louisiana","87,320","9.4%","15.08%"
"Benton","Washington","87,316","9.43%","15.12%"
"Johnson","Indiana","87,227","9.46%","15.16%"
"Washtenaw","Michigan","87,156","9.49%","15.2%"
"Ottawa","Michigan","87,144","9.52%","15.24%"
"Passaic","New Jersey","87,137","9.55%","15.28%"
"Greater Bridgeport Planning Region","Connecticut","87,135","9.58%","15.33%"
"Yamhill","Oregon","87,084","9.61%","15.37%"
"Weber","Utah","87,083","9.64%","15.41%"
"Fairfield","Ohio","87,069","9.68%","15.45%"
"Mono","California","86,953","9.71%","15.49%"
"Leavenworth","Kansas","86,906","9.74%","15.53%"
"Hood","Texas","86,802","9.77%","15.58%"
"Butler","Pennsylvania","86,775","9.8%","15.62%"
"Northampton","Pennsylvania","86,687","9.83%","15.66%"
"Rensselaer","New York","86,663","9.86%","15.7%"
"Isanti","Minnesota","86,573","9.89%","15.74%"
"Strafford","New Hampshire","86,564","9.92%","15.78%"
"Ocean","New Jersey","86,411","9.95%","15.82%"
"Henrico","Virginia","86,397","9.98%","15.86%"
"Hampshire","Massachusetts","86,391","10.02%","15.91%"
"Camden","New Jersey","86,384","10.05%","15.95%"
"Hanson","South Dakota","86,375","10.08%","15.99%"
"Naugatuck Valley Planning Region","Connecticut","86,365","10.11%","16.03%"
"Columbia","Oregon","86,359","10.14%","16.07%"
"North Slope Borough","Alaska","86,313","10.17%","16.11%"
"Caroline","Virginia","86,267","10.2%","16.15%"
"South Central Connecticut Planning Region","Connecticut","86,266","10.23%","16.19%"
"Kalawao","Hawaii","86,250","10.26%","16.24%"
"Multnomah","Oregon","86,247","10.29%","16.28%"
"Collier","Florida","86,173","10.32%","16.32%"
"Garfield","Colorado","86,172","10.36%","16.36%"
"Clay","Missouri","86,150","10.39%","16.4%"
"Clay","Florida","86,094","10.42%","16.44%"
"Lincoln","Wyoming","86,092","10.45%","16.48%"
"Cabarrus","North Carolina","86,084","10.48%","16.52%"
"Sumner","Tennessee","86,005","10.51%","16.56%"
"Clinton","Michigan","85,928","10.54%","16.61%"
"Porter","Indiana","85,828","10.57%","16.65%"
"Hays","Texas","85,827","10.6%","16.69%"
"Morgan","Georgia","85,692","10.63%","16.73%"
"Cumberland","Pennsylvania","85,634","10.66%","16.77%"
"Woodford","Illinois","85,629","10.7%","16.81%"
"Beaver","Utah","85,603","10.73%","16.85%"
"Washoe","Nevada","85,600","10.76%","16.89%"
"Maricopa","Arizona","85,518","10.79%","16.93%"
"Skagit","Washington","85,474","10.82%","16.97%"
"Effingham","Georgia","85,465","10.85%","17.01%"
"Canadian","Oklahoma","85,427","10.88%","17.06%"
"Fredericksburg city","Virginia","85,368","10.91%","17.1%"
"Galveston","Texas","85,348","10.94%","17.14%"
"La Plata","Colorado","85,296","10.97%","17.18%"
"Lincoln","Missouri","85,276","11%","17.22%"
"Greene","Virginia","85,268","11.04%","17.26%"
"Greene","Ohio","85,218","11.07%","17.3%"
"King William","Virginia","85,212","11.1%","17.34%"
"Jackson","Georgia","85,012","11.13%","17.38%"
"Queens","New York","84,961","11.16%","17.42%"
"Burleigh","North Dakota","84,948","11.19%","17.46%"
"Nevada","California","84,905","11.22%","17.5%"
"Gwinnett","Georgia","84,823","11.25%","17.54%"
"Beaufort","South Carolina","84,819","11.28%","17.58%"
"McClain","Oklahoma","84,778","11.31%","17.62%"
"Fayette","Tennessee","84,764","11.34%","17.66%"
"Benton","Iowa","84,742","11.38%","17.7%"
"Sioux","Iowa","84,736","11.41%","17.75%"
"Fairbanks North Star Borough","Alaska","84,722","11.44%","17.79%"
"Carson","Texas","84,583","11.47%","17.83%"
"Grand","Colorado","84,558","11.5%","17.87%"
"Ouray","Colorado","84,556","11.53%","17.91%"
"Greene","Georgia","84,530","11.56%","17.95%"
"Lander","Nevada","84,474","11.59%","17.99%"
"Blaine","Idaho","84,470","11.62%","18.03%"
"Talbot","Maryland","84,378","11.65%","18.07%"
"Warren","Virginia","84,331","11.68%","18.11%"
"Charleston","South Carolina","84,320","11.72%","18.15%"
"Bristol","Massachusetts","84,198","11.75%","18.19%"
"Southeastern Connecticut Planning Region","Connecticut","84,185","11.78%","18.23%"
"Pike","Georgia","84,184","11.81%","18.27%"
"Union","South Dakota","84,137","11.84%","18.31%"
"Sandoval","New Mexico","84,053","11.87%","18.35%"
"Grafton","New Hampshire","84,021","11.9%","18.39%"
"Dinwiddie","Virginia","83,898","11.93%","18.43%"
"Bowman","North Dakota","83,773","11.96%","18.47%"
"Mecklenburg","North Carolina","83,765","11.99%","18.51%"
"LaGrange","Indiana","83,741","12.02%","18.55%"
"Kodiak Island Borough","Alaska","83,716","12.06%","18.59%"
"Lancaster","Pennsylvania","83,703","12.09%","18.63%"
"Gloucester","Virginia","83,689","12.12%","18.67%"
"San Juan","Washington","83,682","12.15%","18.71%"
"Scott","Kentucky","83,660","12.18%","18.75%"
"Columbia","New York","83,619","12.21%","18.79%"
"Grundy","Iowa","83,617","12.24%","18.83%"
"Limestone","Alabama","83,534","12.27%","18.87%"
"Madison","Alabama","83,528","12.3%","18.91%"
"Bottineau","North Dakota","83,460","12.33%","18.95%"
"Steele","Minnesota","83,448","12.36%","18.99%"
"Elko","Nevada","83,427","12.4%","19.03%"
"Foster","North Dakota","83,412","12.43%","19.07%"
"Somervell","Texas","83,382","12.46%","19.11%"
"Iowa","Wisconsin","83,372","12.49%","19.15%"
"Bremer","Iowa","83,343","12.52%","19.19%"
"Madison","Ohio","83,229","12.55%","19.23%"
"Hamlin","South Dakota","83,194","12.58%","19.27%"
"Clermont","Ohio","83,178","12.61%","19.31%"
"Albany","New York","83,149","12.64%","19.35%"
"York","South Carolina","83,060","12.67%","19.39%"
"Seminole","Florida","83,030","12.7%","19.43%"
"DeSoto","Mississippi","82,980","12.74%","19.47%"
"Madison","Virginia","82,972","12.77%","19.51%"
"Carroll","New Hampshire","82,961","12.8%","19.54%"
"Jefferson","Idaho","82,952","12.83%","19.58%"
"Roanoke","Virginia","82,931","12.86%","19.62%"
"York","Maine","82,904","12.89%","19.66%"
"Plaquemines Parish","Louisiana","82,874","12.92%","19.7%"
"Monroe","Georgia","82,863","12.95%","19.74%"
"Outagamie","Wisconsin","82,857","12.98%","19.78%"
"Moore","North Carolina","82,837","13.01%","19.82%"
"Rice","Minnesota","82,792","13.04%","19.86%"
"Columbia","Wisconsin","82,792","13.08%","19.9%"
"Sublette","Wyoming","82,791","13.11%","19.94%"
"Putnam","Ohio","82,785","13.14%","19.98%"
"Franklin","Washington","82,755","13.17%","20.02%"
"Goodhue","Minnesota","82,749","13.2%","20.06%"
"Logan","Oklahoma","82,735","13.23%","20.1%"
"Bastrop","Texas","82,730","13.26%","20.14%"
"Dearborn","Indiana","82,693","13.29%","20.18%"
"Uinta","Wyoming","82,672","13.32%","20.22%"
"Shelby","Kentucky","82,671","13.35%","20.26%"
"Butler","Nebraska","82,603","13.38%","20.3%"
"Rutherford","Tennessee","82,588","13.42%","20.34%"
"Monroe","Florida","82,430","13.45%","20.37%"
"Walton","Georgia","82,381","13.48%","20.41%"
"Monroe","Pennsylvania","82,374","13.51%","20.45%"
"Berkeley","South Carolina","82,327","13.54%","20.49%"
"Clinton","Illinois","82,314","13.57%","20.53%"
"Yoakum","Texas","82,261","13.6%","20.57%"
"York","Pennsylvania","82,238","13.63%","20.61%"
"San Bernardino","California","82,184","13.66%","20.65%"
"St. Charles Parish","Louisiana","82,172","13.69%","20.69%"
"Hartley","Texas","82,122","13.72%","20.73%"
"Hood River","Oregon","82,095","13.76%","20.77%"
"Sagadahoc","Maine","82,080","13.79%","20.81%"
"Cheatham","Tennessee","82,015","13.82%","20.85%"
"Custer","South Dakota","81,958","13.85%","20.88%"
"Tarrant","Texas","81,905","13.88%","20.92%"
"McLean","North Dakota","81,847","13.91%","20.96%"
"Johnson","Texas","81,826","13.94%","21%"
"Ulster","New York","81,804","13.97%","21.04%"
"Cook","Illinois","81,797","14%","21.08%"
"Crockett","Texas","81,739","14.03%","21.12%"
"Crook","Oregon","81,675","14.06%","21.16%"
"Boone","Illinois","81,638","14.1%","21.2%"
"Polk","Iowa","81,621","14.13%","21.24%"
"Henry","Georgia","81,612","14.16%","21.28%"
"Plymouth","Iowa","81,600","14.19%","21.31%"
"Amador","California","81,526","14.22%","21.35%"
"Stillwater","Montana","81,503","14.25%","21.39%"
"Worcester","Maryland","81,455","14.28%","21.43%"
"Otoe","Nebraska","81,430","14.31%","21.47%"
"St. Louis","Missouri","81,340","14.34%","21.51%"
"Menard","Illinois","81,334","14.37%","21.55%"
"Polk","Oregon","81,318","14.4%","21.59%"
"Northwest Arctic Borough","Alaska","81,298","14.44%","21.62%"
"Mountrail","North Dakota","81,292","14.47%","21.66%"
"Billings","North Dakota","81,250","14.5%","21.7%"
"Christian","Missouri","81,245","14.53%","21.74%"
"Dare","North Carolina","81,214","14.56%","21.78%"
"Butler","Ohio","81,194","14.59%","21.82%"
"Seward","Nebraska","81,122","14.62%","21.86%"
"Palm Beach","Florida","81,115","14.65%","21.9%"
"Adams","Pennsylvania","81,071","14.68%","21.93%"
"Licking","Ohio","81,033","14.71%","21.97%"
"Ramsey","Minnesota","81,004","14.74%","22.01%"
"Cheshire","New Hampshire","81,001","14.78%","22.05%"
"Whatcom","Washington","80,989","14.81%","22.09%"
"Randall","Texas","80,905","14.84%","22.13%"
"McCook","South Dakota","80,847","14.87%","22.17%"
"Douglas","Georgia","80,764","14.9%","22.21%"
"Stark","North Dakota","80,744","14.93%","22.24%"
"Houston","Georgia","80,743","14.96%","22.28%"
"Martin","Florida","80,701","14.99%","22.32%"
"Teller","Colorado","80,666","15.02%","22.36%"
"Sarasota","Florida","80,633","15.05%","22.4%"
"Yakutat City and Borough","Alaska","80,625","15.09%","22.44%"
"McHenry","North Dakota","80,614","15.12%","22.48%"
"Jefferson","Wisconsin","80,604","15.15%","22.51%"
"Jefferson","Missouri","80,522","15.18%","22.55%"
"Botetourt","Virginia","80,467","15.21%","22.59%"
"Kent","Michigan","80,390","15.24%","22.63%"
"Butler","Kansas","80,375","15.27%","22.67%"
"Douglas","Washington","80,374","15.3%","22.71%"
"Bartholomew","Indiana","80,365","15.33%","22.74%"
"Nicollet","Minnesota","80,362","15.36%","22.78%"
"Louisa","Virginia","80,343","15.39%","22.82%"
"Steele","North Dakota","80,313","15.43%","22.86%"
"Loudon","Tennessee","80,296","15.46%","22.9%"
"Allegan","Michigan","80,255","15.49%","22.94%"
"Green","Wisconsin","80,248","15.52%","22.97%"
"Louisa","Iowa","80,223","15.55%","23.01%"
"Wabasha","Minnesota","80,133","15.58%","23.05%"
"San Miguel","Colorado","80,117","15.61%","23.09%"
"Kewaunee","Wisconsin","80,085","15.64%","23.13%"
"Carlton","Minnesota","80,042","15.67%","23.17%"
"Woodford","Kentucky","80,006","15.7%","23.2%"
"Guthrie","Iowa","79,981","15.73%","23.24%"
"Augusta","Virginia","79,972","15.77%","23.28%"
"Humboldt","Nevada","79,946","15.8%","23.32%"
"Hamilton","Nebraska","79,884","15.83%","23.36%"
"Calaveras","California","79,877","15.86%","23.39%"
"Washington","Vermont","79,853","15.89%","23.43%"
"Johnston","North Carolina","79,838","15.92%","23.47%"
"Ontario","New York","79,814","15.95%","23.51%"
"Boone","Iowa","79,741","15.98%","23.55%"
"Colfax","Nebraska","79,720","16.01%","23.58%"
"Franklin","Indiana","79,702","16.04%","23.62%"
"Stanislaus","California","79,661","16.07%","23.66%"
"Jasper","Indiana","79,634","16.11%","23.7%"
"Eddy","New Mexico","79,605","16.14%","23.74%"
"Deuel","South Dakota","79,556","16.17%","23.77%"
"Davis","Iowa","79,505","16.2%","23.81%"
"Durham","North Carolina","79,501","16.23%","23.85%"
"Union","Indiana","79,500","16.26%","23.89%"
