"county","state","estimated_house_price","cum_county","cum_estimated_house_price"
"Indian River","Florida","379,122","12.15%","29.17%"
"Moore","North Carolina","379,105","12.18%","29.22%"
"New Kent","Virginia","378,882","12.21%","29.27%"
"Custer","Colorado","378,787","12.24%","29.33%"
"Navajo","Arizona","378,673","12.27%","29.38%"
"Butte","South Dakota","378,493","12.3%","29.43%"
"Bandera","Texas","377,707","12.33%","29.48%"
"Harford","Maryland","377,388","12.36%","29.53%"
"Dakota","Minnesota","377,116","12.4%","29.58%"
"Hampshire","Massachusetts","376,471","12.43%","29.63%"
"Loudon","Tennessee","374,773","12.46%","29.68%"
"Hood","Texas","374,565","12.49%","29.73%"
"Boone","Indiana","374,413","12.52%","29.78%"
"Jackson","Georgia","374,239","12.55%","29.83%"
"St. Croix","Wisconsin","373,779","12.58%","29.88%"
"Austin","Texas","372,657","12.61%","29.93%"
"Hancock","Maine","372,305","12.64%","29.98%"
"Delta","Colorado","372,273","12.67%","30.03%"
"Sweet Grass","Montana","371,899","12.7%","30.08%"
"Wahkiakum","Washington","371,723","12.74%","30.13%"
"Charlotte","Florida","371,197","12.77%","30.18%"
"Ellis","Texas","371,134","12.8%","30.23%"
"Waller","Texas","370,845","12.83%","30.28%"
"Saratoga","New York","370,469","12.86%","30.33%"
"Kerr","Texas","369,988","12.89%","30.38%"
"Baldwin","Alabama","369,973","12.92%","30.43%"
"Providence","Rhode Island","368,683","12.95%","30.48%"
"Coweta","Georgia","368,552","12.98%","30.53%"
"Putnam","Georgia","368,442","13.01%","30.58%"
"Washtenaw","Michigan","367,876","13.04%","30.63%"
"Shasta","California","367,544","13.08%","30.68%"
"Virginia Beach city","Virginia","366,858","13.11%","30.73%"
"Gila","Arizona","366,669","13.14%","30.78%"
"Hennepin","Minnesota","366,397","13.17%","30.83%"
"Yellowstone","Montana","366,127","13.2%","30.88%"
"Chesapeake city","Virginia","365,687","13.23%","30.93%"
"Sagadahoc","Maine","365,395","13.26%","30.98%"
"Lake","Florida","365,147","13.29%","31.03%"
"Cabarrus","North Carolina","364,725","13.32%","31.08%"
"Meade","South Dakota","364,699","13.35%","31.13%"
"Cheatham","Tennessee","364,213","13.38%","31.18%"
"Iredell","North Carolina","364,148","13.42%","31.22%"
"Polk","North Carolina","363,886","13.45%","31.27%"
"York","South Carolina","363,778","13.48%","31.32%"
"Pend Oreille","Washington","363,571","13.51%","31.37%"
"Towns","Georgia","362,921","13.54%","31.42%"
"Wright","Minnesota","362,687","13.57%","31.47%"
"Okaloosa","Florida","362,609","13.6%","31.52%"
"Cook","Minnesota","362,580","13.63%","31.57%"
"Walton","Georgia","362,506","13.66%","31.62%"
"Lincoln","North Carolina","362,234","13.69%","31.66%"
"DuPage","Illinois","362,136","13.72%","31.71%"
"Washington","Texas","361,645","13.76%","31.76%"
"Georgetown","South Carolina","361,600","13.79%","31.81%"
"Whitman","Washington","361,197","13.82%","31.86%"
"Union","Ohio","360,985","13.85%","31.91%"
"Mohave","Arizona","360,487","13.88%","31.96%"
"Hall","Georgia","360,205","13.91%","32.01%"
"Twin Falls","Idaho","359,903","13.94%","32.05%"
"Ulster","New York","359,642","13.97%","32.1%"
"Sussex","New Jersey","359,088","14%","32.15%"
"Chesterfield","Virginia","358,625","14.03%","32.2%"
"Grand Traverse","Michigan","358,475","14.06%","32.25%"
"Wayne","Utah","357,860","14.1%","32.3%"
"Chisago","Minnesota","357,754","14.13%","32.34%"
"Sherburne","Minnesota","357,490","14.16%","32.39%"
"Windham","Vermont","357,409","14.19%","32.44%"
"Mercer","New Jersey","357,066","14.22%","32.49%"
"Bingham","Idaho","356,779","14.25%","32.54%"
"Bennington","Vermont","356,460","14.28%","32.58%"
"Rabun","Georgia","356,264","14.31%","32.63%"
"Churchill","Nevada","355,625","14.34%","32.68%"
"Lancaster","South Carolina","355,554","14.37%","32.73%"
"Grafton","New Hampshire","355,489","14.4%","32.78%"
"Brevard","Florida","355,472","14.44%","32.82%"
"Warren","Ohio","355,468","14.47%","32.87%"
"Laramie","Wyoming","355,271","14.5%","32.92%"
"Washington","Vermont","355,173","14.53%","32.97%"
"Montgomery","Texas","354,946","14.56%","33.02%"
"Williamsburg city","Virginia","354,791","14.59%","33.06%"
"Crook","Wyoming","354,524","14.62%","33.11%"
"Jerome","Idaho","354,192","14.65%","33.16%"
"Stevens","Washington","353,625","14.68%","33.21%"
"Colusa","California","353,607","14.71%","33.25%"
"Petersburg Borough","Alaska","353,517","14.74%","33.3%"
"Vilas","Wisconsin","353,351","14.78%","33.35%"
"Kent","Rhode Island","353,333","14.81%","33.4%"
"Pasco","Florida","353,084","14.84%","33.45%"
"Madison","Virginia","352,746","14.87%","33.49%"
"Madison","North Carolina","352,731","14.9%","33.54%"
"Berkeley","South Carolina","352,329","14.93%","33.59%"
"Nez Perce","Idaho","351,971","14.96%","33.64%"
"Lincoln","New Mexico","351,708","14.99%","33.68%"
"Livingston","Michigan","350,761","15.02%","33.73%"
"Warren","New Jersey","350,359","15.05%","33.78%"
"Pickens","Georgia","350,241","15.09%","33.82%"
"Fayette","Tennessee","349,910","15.12%","33.87%"
"Bryan","Georgia","349,804","15.15%","33.92%"
"Lincoln","South Dakota","349,169","15.18%","33.97%"
"Anoka","Minnesota","349,140","15.21%","34.01%"
"Franklin","North Carolina","348,836","15.24%","34.06%"
"Washington","Nebraska","348,540","15.27%","34.11%"
"Dickinson","Iowa","348,093","15.3%","34.15%"
"Jasper","South Carolina","347,591","15.33%","34.2%"
"Platte","Missouri","347,556","15.36%","34.25%"
"Henrico","Virginia","347,141","15.39%","34.29%"
"Ottawa","Michigan","346,970","15.43%","34.34%"
"Clay","Florida","346,859","15.46%","34.39%"
"Robertson","Tennessee","346,630","15.49%","34.43%"
"Lancaster","Virginia","346,495","15.52%","34.48%"
"Bay","Florida","345,957","15.55%","34.53%"
"Santa Rosa","Florida","345,883","15.58%","34.57%"
"Lee","Texas","345,651","15.61%","34.62%"
"Sanpete","Utah","345,463","15.64%","34.67%"
"Washington","Wisconsin","345,438","15.67%","34.71%"
"Glenn","California","345,434","15.7%","34.76%"
"Pima","Arizona","344,590","15.73%","34.81%"
"Paulding","Georgia","344,113","15.77%","34.85%"
"Isle of Wight","Virginia","344,036","15.8%","34.9%"
"Burlington","New Jersey","343,682","15.83%","34.95%"
"Albany","Wyoming","343,669","15.86%","34.99%"
"Kenai Peninsula Borough","Alaska","343,657","15.89%","35.04%"
"Door","Wisconsin","343,648","15.92%","35.09%"
"Jefferson","West Virginia","342,999","15.95%","35.13%"
"Mineral","Montana","342,873","15.98%","35.18%"
"DeKalb","Georgia","342,836","16.01%","35.22%"
"Lemhi","Idaho","342,668","16.04%","35.27%"
"Louisa","Virginia","342,502","16.07%","35.32%"
"Dorchester","South Carolina","342,436","16.11%","35.36%"
"Charlevoix","Michigan","342,074","16.14%","35.41%"
"Del Norte","California","341,985","16.17%","35.46%"
"Grant","Washington","341,691","16.2%","35.5%"
"Union","Georgia","341,027","16.23%","35.55%"
"Shelby","Alabama","340,387","16.26%","35.59%"
"Kaufman","Texas","339,702","16.29%","35.64%"
"Matanuska-Susitna Borough","Alaska","339,614","16.32%","35.68%"
"Johnston","North Carolina","339,573","16.35%","35.73%"
"Benzie","Michigan","338,332","16.38%","35.78%"
"Dallas","Iowa","338,303","16.41%","35.82%"
"Avery","North Carolina","338,242","16.45%","35.87%"
"Middlesex","Virginia","337,811","16.48%","35.91%"
"Sandoval","New Mexico","337,652","16.51%","35.96%"
