"county","state","mean_income","cum_county","cum_mean_income"
"Mono","California","115,814","8.56%","13.98%"
"DeKalb","Georgia","115,757","8.59%","14.02%"
"Ocean","New Jersey","115,709","8.62%","14.06%"
"Riverside","California","115,609","8.66%","14.1%"
"Worcester","Maryland","115,398","8.69%","14.14%"
"Hancock","Indiana","115,388","8.72%","14.19%"
"Suffolk city","Virginia","115,247","8.75%","14.23%"
"Maricopa","Arizona","115,162","8.78%","14.27%"
"Washington","Wisconsin","115,147","8.81%","14.31%"
"Camden","New Jersey","114,657","8.84%","14.35%"
"Weld","Colorado","114,623","8.87%","14.39%"
"San Joaquin","California","114,559","8.9%","14.44%"
"Sacramento","California","114,458","8.93%","14.48%"
"Hampshire","Massachusetts","114,325","8.96%","14.52%"
"Nassau","Florida","114,157","9%","14.56%"
"Dodge","Minnesota","113,969","9.03%","14.6%"
"Ellis","Texas","113,936","9.06%","14.64%"
"Chisago","Minnesota","113,914","9.09%","14.68%"
"Northampton","Pennsylvania","113,739","9.12%","14.73%"
"Queens","New York","113,673","9.15%","14.77%"
"Butler","Pennsylvania","113,602","9.18%","14.81%"
"Naugatuck Valley Planning Region","Connecticut","113,511","9.21%","14.85%"
"Park","Colorado","113,500","9.24%","14.89%"
"Fluvanna","Virginia","113,385","9.27%","14.93%"
"Stonewall","Texas","113,326","9.3%","14.97%"
"El Paso","Colorado","113,043","9.34%","15.01%"
"Sterling","Texas","112,935","9.37%","15.05%"
"Galveston","Texas","112,903","9.4%","15.1%"
"Washington","Nebraska","112,711","9.43%","15.14%"
"Jessamine","Kentucky","112,610","9.46%","15.18%"
"Logan","Oklahoma","112,589","9.49%","15.22%"
"Hood","Texas","112,569","9.52%","15.26%"
"Ulster","New York","112,552","9.55%","15.3%"
"Llano","Texas","112,454","9.58%","15.34%"
"Ascension Parish","Louisiana","112,452","9.61%","15.38%"
"Adams","Colorado","112,415","9.64%","15.42%"
"Hays","Texas","112,348","9.68%","15.46%"
"Ketchikan Gateway Borough","Alaska","112,238","9.71%","15.5%"
"Currituck","North Carolina","112,218","9.74%","15.54%"
"Tarrant","Texas","112,126","9.77%","15.58%"
"Cabarrus","North Carolina","112,035","9.8%","15.63%"
"Madison","Alabama","111,962","9.83%","15.67%"
"Hemphill","Texas","111,954","9.86%","15.71%"
"Grundy","Illinois","111,929","9.89%","15.75%"
"Benton","Washington","111,832","9.92%","15.79%"
"Meade","Kansas","111,777","9.95%","15.83%"
"Dawson","Georgia","111,715","9.98%","15.87%"
"Douglas","Nebraska","111,694","10.02%","15.91%"
"Seminole","Florida","111,625","10.05%","15.95%"
"Stillwater","Montana","111,489","10.08%","15.99%"
"Belknap","New Hampshire","111,450","10.11%","16.03%"
"Thurston","Washington","111,383","10.14%","16.07%"
"Matanuska-Susitna Borough","Alaska","111,363","10.17%","16.11%"
"Warren","Iowa","111,116","10.2%","16.15%"
"Johnson","Indiana","111,087","10.23%","16.19%"
"Grant","Kansas","111,074","10.26%","16.23%"
"Fairbanks North Star Borough","Alaska","110,923","10.29%","16.27%"
"Ramsey","Minnesota","110,836","10.32%","16.31%"
"Greene","Virginia","110,807","10.36%","16.35%"
"Cecil","Maryland","110,672","10.39%","16.39%"
"Douglas","Washington","110,625","10.42%","16.43%"
"Grand","Colorado","110,584","10.45%","16.47%"
"Outagamie","Wisconsin","110,546","10.48%","16.51%"
"North Slope Borough","Alaska","110,508","10.51%","16.55%"
"Island","Washington","110,452","10.54%","16.59%"
"Divide","North Dakota","110,444","10.57%","16.63%"
"Blanco","Texas","110,438","10.6%","16.67%"
"Guadalupe","Texas","110,416","10.63%","16.71%"
"Garfield","Colorado","110,409","10.66%","16.75%"
"Wise","Texas","110,406","10.7%","16.79%"
"Cumberland","Pennsylvania","110,385","10.73%","16.83%"
"Clinton","Michigan","110,367","10.76%","16.87%"
"Santa Rosa","Florida","110,352","10.79%","16.91%"
"York","South Carolina","110,350","10.82%","16.95%"
"Storey","Nevada","110,274","10.85%","16.99%"
"Valley","Idaho","110,257","10.88%","17.03%"
"Spencer","Kentucky","110,220","10.91%","17.07%"
"Strafford","New Hampshire","110,178","10.94%","17.11%"
"Gwinnett","Georgia","110,170","10.97%","17.15%"
"Davidson","Tennessee","110,098","11%","17.19%"
"Ottawa","Michigan","110,019","11.04%","17.23%"
"Harding","South Dakota","109,939","11.07%","17.27%"
"Nicollet","Minnesota","109,919","11.1%","17.31%"
"Yamhill","Oregon","109,850","11.13%","17.35%"
"Pierce","Wisconsin","109,835","11.16%","17.39%"
"Chugach Census Area","Alaska","109,799","11.19%","17.43%"
"Mills","Iowa","109,588","11.22%","17.47%"
"Durham","North Carolina","109,585","11.25%","17.51%"
"Carroll","New Hampshire","109,531","11.28%","17.55%"
"Bottineau","North Dakota","109,394","11.31%","17.59%"
"Cass","Nebraska","109,350","11.34%","17.63%"
"Custer","South Dakota","109,295","11.38%","17.67%"
"Morton","North Dakota","109,260","11.41%","17.71%"
"Charlottesville city","Virginia","109,240","11.44%","17.75%"
"Edmunds","South Dakota","109,208","11.47%","17.79%"
"Dallas","Texas","109,165","11.5%","17.83%"
"Ouray","Colorado","109,038","11.53%","17.87%"
"Bristol","Massachusetts","108,996","11.56%","17.91%"
"Johnson","Iowa","108,967","11.59%","17.95%"
"Iredell","North Carolina","108,944","11.62%","17.99%"
"Greene","Ohio","108,932","11.65%","18.03%"
"Burnet","Texas","108,845","11.68%","18.07%"
"Sumner","Tennessee","108,835","11.72%","18.11%"
"Harris","Texas","108,784","11.75%","18.15%"
"Burleigh","North Dakota","108,697","11.78%","18.18%"
"Southeastern Connecticut Planning Region","Connecticut","108,630","11.81%","18.22%"
"Louisa","Virginia","108,564","11.84%","18.26%"
"Lake","Colorado","108,464","11.87%","18.3%"
"Woodford","Illinois","108,426","11.9%","18.34%"
"Orange","Florida","108,171","11.93%","18.38%"
"Skagit","Washington","108,032","11.96%","18.42%"
"Lancaster","Pennsylvania","107,934","11.99%","18.46%"
"Sherman","Kansas","107,922","12.02%","18.5%"
"Addison","Vermont","107,877","12.06%","18.54%"
"Albany","New York","107,762","12.09%","18.58%"
"Borden","Texas","107,695","12.12%","18.62%"
"Williamsburg city","Virginia","107,619","12.15%","18.66%"
"Jefferson","Montana","107,580","12.18%","18.69%"
"Sitka City and Borough","Alaska","107,564","12.21%","18.73%"
"Lehigh","Pennsylvania","107,564","12.24%","18.77%"
"Paulding","Georgia","107,510","12.27%","18.81%"
"Licking","Ohio","107,464","12.3%","18.85%"
"Porter","Indiana","107,336","12.33%","18.89%"
"Allegheny","Pennsylvania","107,275","12.36%","18.93%"
"Calumet","Wisconsin","107,242","12.4%","18.97%"
"Roanoke","Virginia","107,156","12.43%","19.01%"
"Le Sueur","Minnesota","107,148","12.46%","19.04%"
"Manatee","Florida","107,117","12.49%","19.08%"
"Clermont","Ohio","107,049","12.52%","19.12%"
"Northeastern Connecticut Planning Region","Connecticut","107,010","12.55%","19.16%"
"Skamania","Washington","106,938","12.58%","19.2%"
"Saunders","Nebraska","106,904","12.61%","19.24%"
"St. Tammany Parish","Louisiana","106,854","12.64%","19.28%"
"Windsor","Vermont","106,755","12.67%","19.32%"
"Fairfield","Ohio","106,689","12.7%","19.35%"
"Jerauld","South Dakota","106,575","12.74%","19.39%"
"Hillsborough","Florida","106,537","12.77%","19.43%"
"Campbell","Kentucky","106,500","12.8%","19.47%"
"Montour","Pennsylvania","106,486","12.83%","19.51%"
"Stanley","South Dakota","106,448","12.86%","19.55%"
"La Plata","Colorado","106,437","12.89%","19.59%"
"Piatt","Illinois","106,362","12.92%","19.63%"
"Polk","Iowa","106,356","12.95%","19.66%"
"Dare","North Carolina","106,269","12.98%","19.7%"
"Miami","Kansas","106,267","13.01%","19.74%"
"Sully","South Dakota","106,129","13.04%","19.78%"
"Rensselaer","New York","106,010","13.08%","19.82%"
"Whatcom","Washington","105,948","13.11%","19.86%"
"Waller","Texas","105,868","13.14%","19.89%"
"Kent","Michigan","105,864","13.17%","19.93%"
"St. Charles Parish","Louisiana","105,813","13.2%","19.97%"
"Broward","Florida","105,773","13.23%","20.01%"
"Butler","Nebraska","105,747","13.26%","20.05%"
"Atlantic","New Jersey","105,691","13.29%","20.09%"
"Sheridan","Kansas","105,689","13.32%","20.12%"
"Okaloosa","Florida","105,647","13.35%","20.16%"
"Morgan","Georgia","105,629","13.38%","20.2%"
"Santa Fe","New Mexico","105,593","13.42%","20.24%"
"Campbell","Wyoming","105,583","13.45%","20.28%"
"Clay","Florida","105,559","13.48%","20.32%"
"San Bernardino","California","105,546","13.51%","20.35%"
"Chelan","Washington","105,534","13.54%","20.39%"
"Clay","Missouri","105,515","13.57%","20.43%"
"Fayette","Tennessee","105,471","13.6%","20.47%"
"Calhoun","Illinois","105,411","13.63%","20.51%"
"Moore","North Carolina","105,326","13.66%","20.55%"
"Franklin","Washington","105,287","13.69%","20.58%"
"Weber","Utah","105,251","13.72%","20.62%"
"Berkshire","Massachusetts","105,155","13.76%","20.66%"
"Fillmore","Nebraska","105,116","13.79%","20.7%"
"Limestone","Alabama","105,108","13.82%","20.74%"
"Sandoval","New Mexico","105,092","13.85%","20.77%"
"Cass","Missouri","105,071","13.88%","20.81%"
"Traill","North Dakota","105,020","13.91%","20.85%"
"Sussex","Delaware","105,000","13.94%","20.89%"
"Amador","California","104,990","13.97%","20.93%"
"Clinton","Illinois","104,928","14%","20.97%"
"Hall","Georgia","104,904","14.03%","21%"
"Kenton","Kentucky","104,860","14.06%","21.04%"
"Kearney","Nebraska","104,859","14.1%","21.08%"
"Washington","Utah","104,854","14.13%","21.12%"
"Emmet","Michigan","104,840","14.16%","21.16%"
"Indian River","Florida","104,837","14.19%","21.19%"
"Polk","Oregon","104,766","14.22%","21.23%"
"Roger Mills","Oklahoma","104,745","14.25%","21.27%"
"Randall","Texas","104,696","14.28%","21.31%"
"Ontario","New York","104,658","14.31%","21.35%"
"Logan","Nebraska","104,642","14.34%","21.38%"
"Walworth","Wisconsin","104,608","14.37%","21.42%"
"Kaufman","Texas","104,547","14.4%","21.46%"
"Ottawa","Ohio","104,516","14.44%","21.5%"
"Rice","Minnesota","104,482","14.47%","21.53%"
"Lamoille","Vermont","104,443","14.5%","21.57%"
"Washington","Pennsylvania","104,399","14.53%","21.61%"
"Sioux","Iowa","104,234","14.56%","21.65%"
"Effingham","Georgia","104,190","14.59%","21.69%"
"York","Maine","104,151","14.62%","21.72%"
"Greenville","South Carolina","104,150","14.65%","21.76%"
"Leavenworth","Kansas","104,102","14.68%","21.8%"
"Osage","Missouri","104,002","14.71%","21.84%"
"Jackson","Georgia","103,982","14.74%","21.87%"
"Boone","Illinois","103,936","14.78%","21.91%"
"McLean","Illinois","103,921","14.81%","21.95%"
"Griggs","North Dakota","103,858","14.84%","21.99%"
"Pleasants","West Virginia","103,825","14.87%","22.03%"
"Lincoln","North Carolina","103,818","14.9%","22.06%"
"Hamilton","Tennessee","103,813","14.93%","22.1%"
"Hawaii","Hawaii","103,758","14.96%","22.14%"
"Walton","Georgia","103,621","14.99%","22.18%"
"Butler","Ohio","103,524","15.02%","22.21%"
"Hamilton","Ohio","103,444","15.05%","22.25%"
"McClain","Oklahoma","103,428","15.09%","22.29%"
"Madison","Iowa","103,385","15.12%","22.33%"
"Stevens","Minnesota","103,377","15.15%","22.36%"
"Union","Pennsylvania","103,373","15.18%","22.4%"
"Denali Borough","Alaska","103,321","15.21%","22.44%"
"Plymouth","Iowa","103,320","15.24%","22.48%"
"Calaveras","California","103,128","15.27%","22.51%"
"Madison","Virginia","103,123","15.3%","22.55%"
"Gloucester","Virginia","103,122","15.33%","22.59%"
"New Hanover","North Carolina","103,112","15.36%","22.63%"
"Scott","Kentucky","103,080","15.39%","22.66%"
"Pottawatomie","Kansas","103,077","15.43%","22.7%"
"Warren","Virginia","103,067","15.46%","22.74%"
"Teller","Colorado","103,056","15.49%","22.78%"
"Lee","Georgia","102,982","15.52%","22.81%"
"West Feliciana Parish","Louisiana","102,965","15.55%","22.85%"
"Mountrail","North Dakota","102,926","15.58%","22.89%"
"Lancaster","South Carolina","102,695","15.61%","22.92%"
"Oliver","North Dakota","102,691","15.64%","22.96%"
"Carson","Texas","102,684","15.67%","23%"
"Tompkins","New York","102,676","15.7%","23.04%"
"Washington","Vermont","102,667","15.73%","23.07%"
"Billings","North Dakota","102,656","15.77%","23.11%"
"Fayette","Texas","102,640","15.8%","23.15%"
"Bennington","Vermont","102,609","15.83%","23.19%"
"Charlevoix","Michigan","102,533","15.86%","23.22%"
"Bremer","Iowa","102,529","15.89%","23.26%"
"Benton","Oregon","102,528","15.92%","23.3%"
"Miami-Dade","Florida","102,498","15.95%","23.33%"
"Berkeley","South Carolina","102,485","15.98%","23.37%"
"Andrews","Texas","102,475","16.01%","23.41%"
"Stanislaus","California","102,442","16.04%","23.45%"
"Canadian","Oklahoma","102,440","16.07%","23.48%"
"Franklin","Ohio","102,386","16.11%","23.52%"
"Pike","Georgia","102,353","16.14%","23.56%"
"Kenai Peninsula Borough","Alaska","102,341","16.17%","23.59%"
"Prince George","Virginia","102,321","16.2%","23.63%"
"Yellowstone","Montana","102,308","16.23%","23.67%"
"Midland","Michigan","102,291","16.26%","23.71%"
"Lee","Florida","102,290","16.29%","23.74%"
