"county","state","household_count","cum_county","cum_population"
"Pierce","Washington","346,708","1.92%","32.32%"
"Prince George's","Maryland","344,586","1.95%","32.58%"
"Honolulu","Hawaii","337,061","1.98%","32.85%"
"Montgomery","Pennsylvania","333,514","2.01%","33.1%"
"Worcester","Massachusetts","333,273","2.04%","33.36%"
"Baltimore","Maryland","330,151","2.07%","33.62%"
"Denver","Colorado","329,578","2.1%","33.88%"
"Jefferson","Kentucky","329,392","2.13%","34.13%"
"Oklahoma","Oklahoma","323,102","2.16%","34.38%"
"Gwinnett","Georgia","322,852","2.19%","34.63%"
"Suffolk","Massachusetts","322,184","2.23%","34.88%"
"Fresno","California","322,163","2.26%","35.13%"
"District of Columbia","District of Columbia","321,556","2.29%","35.38%"
"Lee","Florida","319,588","2.32%","35.63%"
"Essex","New Jersey","317,473","2.35%","35.88%"
"Monroe","New York","316,506","2.38%","36.12%"
"Davidson","Tennessee","314,578","2.41%","36.37%"
"Snohomish","Washington","311,825","2.44%","36.61%"
"Essex","Massachusetts","311,676","2.47%","36.85%"
"Middlesex","New Jersey","305,610","2.5%","37.09%"
"Jackson","Missouri","302,726","2.53%","37.33%"
"El Paso","Texas","296,341","2.57%","37.56%"
"Hudson","New Jersey","295,552","2.6%","37.79%"
"Cobb","Georgia","293,410","2.63%","38.01%"
"DeKalb","Georgia","284,681","2.66%","38.23%"
"Bernalillo","New Mexico","283,609","2.69%","38.46%"
"El Paso","Colorado","283,174","2.72%","38.68%"
"Kern","California","281,416","2.75%","38.89%"
"Norfolk","Massachusetts","281,408","2.78%","39.11%"
"Fort Bend","Texas","281,259","2.81%","39.33%"
"Ventura","California","278,045","2.84%","39.55%"
"Polk","Florida","276,643","2.87%","39.76%"
"Jefferson","Alabama","268,911","2.91%","39.97%"
"Tulsa","Oklahoma","268,530","2.94%","40.18%"
"San Mateo","California","264,424","2.97%","40.38%"
"Hidalgo","Texas","264,128","3%","40.59%"
"Lake","Illinois","256,660","3.03%","40.79%"
"Providence","Rhode Island","256,505","3.06%","40.99%"
"Kent","Michigan","254,860","3.09%","41.19%"
"Arapahoe","Colorado","253,890","3.12%","41.38%"
"Brevard","Florida","251,889","3.15%","41.58%"
"Baltimore city","Maryland","250,608","3.18%","41.77%"
"Monmouth","New Jersey","250,195","3.21%","41.97%"
"Bucks","Pennsylvania","247,674","3.25%","42.16%"
"Dane","Wisconsin","245,736","3.28%","42.35%"
"Johnson","Kansas","244,777","3.31%","42.54%"
"Williamson","Texas","241,754","3.34%","42.73%"
"Ocean","New Jersey","241,521","3.37%","42.92%"
"San Joaquin","California","241,373","3.4%","43.11%"
"Will","Illinois","241,310","3.43%","43.29%"
"Jefferson","Colorado","240,031","3.46%","43.48%"
"Volusia","Florida","237,396","3.49%","43.66%"
"Montgomery","Texas","235,474","3.52%","43.85%"
"Douglas","Nebraska","235,080","3.55%","44.03%"
"Washington","Oregon","232,366","3.59%","44.21%"
"Western Connecticut Planning Region","Connecticut","232,279","3.62%","44.39%"
"Bristol","Massachusetts","232,202","3.65%","44.57%"
"Montgomery","Ohio","230,149","3.68%","44.75%"
"Pasco","Florida","229,860","3.71%","44.93%"
"Summit","Ohio","229,503","3.74%","45.11%"
"South Central Connecticut Planning Region","Connecticut","227,739","3.77%","45.28%"
"Anne Arundel","Maryland","223,602","3.8%","45.46%"
"New Castle","Delaware","222,943","3.83%","45.63%"
"Ramsey","Minnesota","219,075","3.86%","45.8%"
"Delaware","Pennsylvania","216,660","3.89%","45.97%"
"Spokane","Washington","215,879","3.93%","46.14%"
"Guilford","North Carolina","215,807","3.96%","46.3%"
"Greenville","South Carolina","215,774","3.99%","46.47%"
"Lancaster","Pennsylvania","210,536","4.02%","46.63%"
"Sarasota","Florida","205,503","4.05%","46.79%"
"Sedgwick","Kansas","205,024","4.08%","46.95%"
"Chester","Pennsylvania","202,405","4.11%","47.11%"
"Polk","Iowa","202,404","4.14%","47.27%"
"Union","New Jersey","201,663","4.17%","47.42%"
"Plymouth","Massachusetts","200,995","4.2%","47.58%"
"Camden","New Jersey","200,569","4.23%","47.74%"
"Knox","Tennessee","197,298","4.27%","47.89%"
"Ada","Idaho","196,700","4.3%","48.04%"
"Washoe","Nevada","195,725","4.33%","48.2%"
"Utah","Utah","195,602","4.36%","48.35%"
"Onondaga","New York","194,963","4.39%","48.5%"
"Lake","Indiana","193,474","4.42%","48.65%"
"Clark","Washington","193,387","4.45%","48.8%"
"Morris","New Jersey","191,840","4.48%","48.95%"
"Sonoma","California","190,498","4.51%","49.1%"
"Seminole","Florida","185,396","4.54%","49.24%"
"Adams","Colorado","184,964","4.57%","49.38%"
"Hampden","Massachusetts","184,217","4.61%","49.53%"
"Kane","Illinois","183,196","4.64%","49.67%"
"Lucas","Ohio","182,146","4.67%","49.81%"
"York","Pennsylvania","180,207","4.7%","49.95%"
"Virginia Beach city","Virginia","179,800","4.73%","50.09%"
"Naugatuck Valley Planning Region","Connecticut","178,340","4.76%","50.23%"
"Passaic","New Jersey","177,964","4.79%","50.37%"
"Jefferson Parish","Louisiana","176,986","4.82%","50.5%"
"Stanislaus","California","176,457","4.85%","50.64%"
"Burlington","New Jersey","176,046","4.88%","50.78%"
"Charleston","South Carolina","175,499","4.91%","50.91%"
"East Baton Rouge Parish","Louisiana","175,408","4.95%","51.05%"
"Dakota","Minnesota","171,630","4.98%","51.18%"
"Richmond","New York","170,047","5.01%","51.32%"
"Pulaski","Arkansas","169,453","5.04%","51.45%"
"Manatee","Florida","168,504","5.07%","51.58%"
"Hillsborough","New Hampshire","167,732","5.1%","51.71%"
"Waukesha","Wisconsin","166,790","5.13%","51.84%"
"Genesee","Michigan","166,375","5.16%","51.97%"
"Richland","South Carolina","165,308","5.19%","52.1%"
"Clackamas","Oregon","162,762","5.22%","52.22%"
"Madison","Alabama","162,469","5.26%","52.35%"
"Berks","Pennsylvania","161,701","5.29%","52.47%"
"Collier","Florida","160,867","5.32%","52.6%"
"Mobile","Alabama","160,507","5.35%","52.72%"
"Marion","Florida","159,796","5.38%","52.85%"
"Lane","Oregon","159,509","5.41%","52.97%"
"Lake","Florida","159,474","5.44%","53.1%"
"St. Charles","Missouri","158,682","5.47%","53.22%"
"Pinal","Arizona","157,193","5.5%","53.34%"
"Solano","California","155,800","5.53%","53.46%"
"Forsyth","North Carolina","155,743","5.56%","53.58%"
"Placer","California","155,422","5.6%","53.7%"
"Stark","Ohio","155,366","5.63%","53.83%"
"Orleans Parish","Louisiana","155,060","5.66%","53.95%"
"Prince William","Virginia","154,609","5.69%","54.07%"
"Westmoreland","Pennsylvania","154,385","5.72%","54.19%"
"Allen","Indiana","154,183","5.75%","54.31%"
"Larimer","Colorado","151,571","5.78%","54.42%"
"Hamilton","Tennessee","151,316","5.81%","54.54%"
"Horry","South Carolina","150,342","5.84%","54.66%"
"Washtenaw","Michigan","149,256","5.87%","54.77%"
"Santa Barbara","California","148,960","5.9%","54.89%"
"San Juan Municipio","Puerto Rico","147,795","5.94%","55%"
"Butler","Ohio","145,232","5.97%","55.12%"
"St. Louis city","Missouri","144,450","6%","55.23%"
"Lehigh","Pennsylvania","143,445","6.03%","55.34%"
"Tulare","California","142,026","6.06%","55.45%"
"Mercer","New Jersey","141,464","6.09%","55.56%"
"Loudoun","Virginia","140,823","6.12%","55.67%"
"Galveston","Texas","138,666","6.15%","55.78%"
"Bell","Texas","138,557","6.18%","55.89%"
"Durham","North Carolina","138,502","6.21%","55.99%"
"Fayette","Kentucky","137,803","6.24%","56.1%"
"Orange","New York","137,311","6.28%","56.21%"
"Chesterfield","Virginia","136,996","6.31%","56.31%"
"Anoka","Minnesota","136,171","6.34%","56.42%"
"Douglas","Colorado","136,130","6.37%","56.53%"
"Henrico","Virginia","135,599","6.4%","56.63%"
"Cameron","Texas","135,435","6.43%","56.74%"
"Boulder","Colorado","135,230","6.46%","56.84%"
"Luzerne","Pennsylvania","133,434","6.49%","56.94%"
"Hamilton","Indiana","133,171","6.52%","57.05%"
"Albany","New York","132,728","6.55%","57.15%"
"Lancaster","Nebraska","132,162","6.58%","57.25%"
"Monterey","California","132,046","6.62%","57.36%"
"Greene","Missouri","131,708","6.65%","57.46%"
"St. Lucie","Florida","131,640","6.68%","57.56%"
"Osceola","Florida","131,365","6.71%","57.66%"
"Brazoria","Texas","131,184","6.74%","57.76%"
"Nueces","Texas","130,770","6.77%","57.87%"
"Cumberland","Maine","130,003","6.8%","57.97%"
"Somerset","New Jersey","129,459","6.83%","58.07%"
"Spartanburg","South Carolina","128,606","6.86%","58.17%"
"Escambia","Florida","128,292","6.89%","58.27%"
"Cumberland","North Carolina","128,118","6.92%","58.37%"
"Rockingham","New Hampshire","126,588","6.96%","58.47%"
"Rutherford","Tennessee","125,861","6.99%","58.56%"
"Lorain","Ohio","125,856","7.02%","58.66%"
"Marion","Oregon","125,413","7.05%","58.76%"
"Lubbock","Texas","124,045","7.08%","58.85%"
"Northampton","Pennsylvania","121,496","7.11%","58.95%"
"Lexington","South Carolina","120,789","7.14%","59.04%"
"Leon","Florida","120,673","7.17%","59.14%"
"Howard","Maryland","120,066","7.2%","59.23%"
"Weld","Colorado","120,019","7.23%","59.32%"
"Dauphin","Pennsylvania","119,763","7.26%","59.42%"
"Chatham","Georgia","119,241","7.3%","59.51%"
"Greater Bridgeport Planning Region","Connecticut","118,335","7.33%","59.6%"
"Thurston","Washington","117,172","7.36%","59.69%"
"Ingham","Michigan","116,566","7.39%","59.78%"
"McHenry","Illinois","116,329","7.42%","59.87%"
"Winnebago","Illinois","115,449","7.45%","59.96%"
"Cleveland","Oklahoma","115,293","7.48%","60.05%"
"Dutchess","New York","115,184","7.51%","60.14%"
"Davis","Utah","114,674","7.54%","60.23%"
"Southeastern Connecticut Planning Region","Connecticut","114,577","7.57%","60.32%"
"Alachua","Florida","112,776","7.6%","60.41%"
"Gloucester","New Jersey","111,796","7.64%","60.49%"
"York","South Carolina","111,623","7.67%","60.58%"
"Arlington","Virginia","111,530","7.7%","60.67%"
"Brown","Wisconsin","110,248","7.73%","60.75%"
"Erie","Pennsylvania","110,106","7.76%","60.84%"
"Ottawa","Michigan","110,019","7.79%","60.92%"
"Madison","Illinois","109,385","7.82%","61.01%"
"Yavapai","Arizona","108,900","7.85%","61.09%"
"San Luis Obispo","California","108,897","7.88%","61.18%"
"St. Johns","Florida","108,827","7.91%","61.26%"
"Atlantic","New Jersey","108,712","7.94%","61.35%"
"Anchorage Municipality","Alaska","107,868","7.98%","61.43%"
"Benton","Arkansas","107,667","8.01%","61.51%"
"Kitsap","Washington","107,264","8.04%","61.6%"
"St. Joseph","Indiana","107,005","8.07%","61.68%"
"Kalamazoo","Michigan","106,251","8.1%","61.76%"
"Clayton","Georgia","105,626","8.13%","61.85%"
"Cumberland","Pennsylvania","105,187","8.16%","61.93%"
"Washington","Minnesota","103,411","8.19%","62.01%"
"St. Tammany Parish","Louisiana","103,286","8.22%","62.09%"
"Rockland","New York","103,284","8.25%","62.17%"
"Sussex","Delaware","103,213","8.28%","62.25%"
"Marin","California","103,201","8.32%","62.33%"
"Barnstable","Massachusetts","102,981","8.35%","62.41%"
"Buncombe","North Carolina","102,672","8.38%","62.49%"
"New Hanover","North Carolina","102,376","8.41%","62.57%"
"Richmond city","Virginia","102,145","8.44%","62.65%"
"Frederick","Maryland","101,807","8.47%","62.73%"
"St. Clair","Illinois","101,273","8.5%","62.81%"
"Clay","Missouri","101,008","8.53%","62.88%"
"Lake","Ohio","100,319","8.56%","62.96%"
"Harford","Maryland","100,271","8.59%","63.04%"
"Saratoga","New York","99,835","8.62%","63.12%"
"Lafayette Parish","Louisiana","99,357","8.66%","63.19%"
"Cherokee","Georgia","99,132","8.69%","63.27%"
"Mahoning","Ohio","98,190","8.72%","63.35%"
"Mohave","Arizona","96,899","8.75%","63.42%"
"Santa Cruz","California","96,873","8.78%","63.5%"
"McLennan","Texas","95,966","8.81%","63.57%"
"Washington","Arkansas","95,467","8.84%","63.65%"
"Linn","Iowa","95,051","8.87%","63.72%"
"Caddo Parish","Louisiana","94,917","8.9%","63.79%"
"Baldwin","Alabama","94,642","8.93%","63.87%"
"Hays","Texas","94,499","8.96%","63.94%"
"Norfolk city","Virginia","94,457","9%","64.01%"
"Oneida","New York","94,361","9.03%","64.09%"
"Jefferson","Texas","93,646","9.06%","64.16%"
"Whatcom","Washington","92,411","9.09%","64.23%"
"Chesapeake city","Virginia","92,361","9.12%","64.3%"
"Weber","Utah","92,353","9.15%","64.38%"
"Gaston","North Carolina","92,287","9.18%","64.45%"
"Niagara","New York","91,493","9.21%","64.52%"
"Montgomery","Alabama","90,785","9.24%","64.59%"
"Williamson","Tennessee","90,716","9.27%","64.66%"
"Jackson","Oregon","90,679","9.3%","64.73%"
"Berkeley","South Carolina","90,348","9.34%","64.8%"
"Warren","Ohio","90,288","9.37%","64.87%"
"York","Maine","90,250","9.4%","64.94%"
"Hinds","Mississippi","89,720","9.43%","65.01%"
"Brazos","Texas","88,415","9.46%","65.08%"
"Lackawanna","Pennsylvania","88,266","9.49%","65.15%"
"Washington","Pennsylvania","87,665","9.52%","65.22%"
"Charlotte","Florida","87,376","9.55%","65.28%"
"Tuscaloosa","Alabama","87,289","9.58%","65.35%"
"Jefferson","Missouri","87,025","9.61%","65.42%"
"Yakima","Washington","86,689","9.64%","65.49%"
"Forsyth","Georgia","86,688","9.68%","65.55%"
"St. Louis","Minnesota","86,264","9.71%","65.62%"
"Trumbull","Ohio","86,135","9.74%","65.69%"
"Shelby","Alabama","85,414","9.77%","65.75%"
"Merced","California","84,605","9.8%","65.82%"
"Henry","Georgia","84,498","9.83%","65.89%"
"Clermont","Ohio","84,334","9.86%","65.95%"
"Montgomery","Tennessee","84,321","9.89%","66.02%"
"Sangamon","Illinois","84,290","9.92%","66.08%"
"Okaloosa","Florida","84,123","9.95%","66.15%"
"Champaign","Illinois","83,777","9.98%","66.21%"
"Doña Ana","New Mexico","83,530","10.02%","66.28%"
"Deschutes","Oregon","83,197","10.05%","66.34%"
"Canyon","Idaho","82,864","10.08%","66.41%"
"Minnehaha","South Dakota","82,394","10.11%","66.47%"
"Butte","California","82,345","10.14%","66.53%"
"Johnston","North Carolina","82,293","10.17%","66.6%"
"Union","North Carolina","82,231","10.2%","66.66%"
"Anderson","South Carolina","82,134","10.23%","66.73%"
"Broome","New York","81,781","10.26%","66.79%"
"Clay","Florida","81,757","10.29%","66.85%"
"Smith","Texas","81,690","10.32%","66.92%"
"Cass","North Dakota","81,668","10.36%","66.98%"
"Harrison","Mississippi","81,214","10.39%","67.04%"
"Muscogee","Georgia","80,600","10.42%","67.11%"
"Hernando","Florida","80,544","10.45%","67.17%"
"Delaware","Ohio","80,455","10.48%","67.23%"
"Cabarrus","North Carolina","80,370","10.51%","67.29%"
"Butler","Pennsylvania","80,245","10.54%","67.36%"
"Webb","Texas","79,572","10.57%","67.42%"
"Racine","Wisconsin","79,109","10.6%","67.48%"
"Beaufort","South Carolina","78,794","10.63%","67.54%"
"Saginaw","Michigan","77,586","10.66%","67.6%"
"Outagamie","Wisconsin","77,239","10.7%","67.66%"
"Vanderburgh","Indiana","77,198","10.73%","67.72%"
"Peoria","Illinois","77,074","10.76%","67.78%"
"Calcasieu Parish","Louisiana","76,995","10.79%","67.84%"
"Yuma","Arizona","76,903","10.82%","67.9%"
"Kanawha","West Virginia","76,806","10.85%","67.96%"
"Sumner","Tennessee","76,706","10.88%","68.02%"
"Benton","Washington","76,696","10.91%","68.08%"
"Yolo","California","76,640","10.94%","68.14%"
"Bay","Florida","76,118","10.97%","68.2%"
"Newport News city","Virginia","75,798","11%","68.26%"
"Livingston","Michigan","75,722","11.04%","68.31%"
"El Dorado","California","75,719","11.07%","68.37%"
"Alexandria city","Virginia","75,349","11.1%","68.43%"
"Boone","Missouri","75,084","11.13%","68.49%"
"Richmond","Georgia","75,023","11.16%","68.55%"
"Shawnee","Kansas","74,528","11.19%","68.61%"
"Tippecanoe","Indiana","74,415","11.22%","68.66%"
"Iredell","North Carolina","73,913","11.25%","68.72%"
"Lower Connecticut River Valley Planning Region","Connecticut","73,624","11.28%","68.78%"
"Pitt","North Carolina","73,404","11.31%","68.84%"
"Ulster","New York","73,105","11.34%","68.89%"
"Hawaii","Hawaii","72,958","11.38%","68.95%"
"Kent","Rhode Island","72,743","11.41%","69.01%"
"Scott","Iowa","72,675","11.44%","69.06%"
"Sarpy","Nebraska","72,661","11.47%","69.12%"
"Onslow","North Carolina","72,516","11.5%","69.18%"
"Medina","Ohio","72,500","11.53%","69.23%"
"Beaver","Pennsylvania","71,975","11.56%","69.29%"
"Winnebago","Wisconsin","71,958","11.59%","69.34%"
"Elkhart","Indiana","71,760","11.62%","69.4%"
"Shasta","California","71,473","11.65%","69.45%"
"Bayamón Municipio","Puerto Rico","71,416","11.68%","69.51%"
"Hall","Georgia","71,263","11.72%","69.57%"
"Santa Rosa","Florida","71,250","11.75%","69.62%"
"Chittenden","Vermont","70,443","11.78%","69.68%"
"Kent","Delaware","70,053","11.81%","69.73%"
"Citrus","Florida","69,701","11.84%","69.78%"
"Santa Fe","New Mexico","69,348","11.87%","69.84%"
"DeSoto","Mississippi","69,327","11.9%","69.89%"
"Yellowstone","Montana","69,272","11.93%","69.95%"
"Kootenai","Idaho","69,104","11.96%","70%"
"McLean","Illinois","69,072","11.99%","70.05%"
"Ellis","Texas","68,852","12.02%","70.11%"
"Indian River","Florida","68,696","12.06%","70.16%"
"Aiken","South Carolina","68,606","12.09%","70.21%"
"Davidson","North Carolina","68,512","12.12%","70.27%"
"Alamance","North Carolina","68,441","12.15%","70.32%"
"Sullivan","Tennessee","68,408","12.18%","70.37%"
"Licking","Ohio","68,305","12.21%","70.43%"
"Porter","Indiana","68,049","12.24%","70.48%"
"Lee","Alabama","67,944","12.27%","70.53%"
"Martin","Florida","67,820","12.3%","70.58%"
"Pueblo","Colorado","67,816","12.33%","70.64%"
"Comal","Texas","67,651","12.36%","70.69%"
"Kenosha","Wisconsin","67,631","12.4%","70.74%"
"Kenton","Kentucky","67,593","12.43%","70.79%"
"Greene","Ohio","67,478","12.46%","70.85%"
"Muskegon","Michigan","67,112","12.49%","70.9%"
"Midland","Texas","67,057","12.52%","70.95%"
"Sumter","Florida","66,941","12.55%","71%"
"Washington","Utah","66,914","12.58%","71.05%"
"Rock","Wisconsin","66,652","12.61%","71.11%"
"Olmsted","Minnesota","66,629","12.64%","71.16%"
"St. Clair","Michigan","66,618","12.67%","71.21%"
"Schenectady","New York","66,324","12.7%","71.26%"
"Rensselaer","New York","66,233","12.74%","71.31%"
"Hendricks","Indiana","65,839","12.77%","71.36%"
"Catawba","North Carolina","65,201","12.8%","71.42%"
"Penobscot","Maine","64,769","12.83%","71.47%"
"Portage","Ohio","64,560","12.86%","71.52%"
"Mesa","Colorado","64,559","12.89%","71.57%"
"Brunswick","North Carolina","64,436","12.92%","71.62%"
"Berrien","Michigan","63,651","12.95%","71.67%"
"Carroll","Maryland","63,487","12.98%","71.71%"
"Johnson","Texas","63,477","13.01%","71.76%"
"Franklin","Pennsylvania","63,028","13.04%","71.81%"
"Guadalupe","Texas","62,953","13.08%","71.86%"
"Monroe","Michigan","62,509","13.11%","71.91%"
"Carolina Municipio","Puerto Rico","62,428","13.14%","71.96%"
"Ector","Texas","62,422","13.17%","72.01%"
"Johnson","Iowa","62,214","13.2%","72.06%"
"Houston","Georgia","62,158","13.23%","72.1%"
"Jackson","Michigan","62,034","13.26%","72.15%"
"Hampshire","Massachusetts","61,770","13.29%","72.2%"
"Dorchester","South Carolina","61,573","13.32%","72.25%"
"Johnson","Indiana","61,513","13.35%","72.3%"
"Wyandotte","Kansas","61,241","13.38%","72.34%"
"Rock Island","Illinois","61,192","13.42%","72.39%"
"Stearns","Minnesota","60,937","13.45%","72.44%"
"Ouachita Parish","Louisiana","60,804","13.48%","72.49%"
"Monroe","Pennsylvania","60,562","13.51%","72.53%"
"Merrimack","New Hampshire","60,445","13.54%","72.58%"
"Charles","Maryland","60,199","13.57%","72.63%"
"Fairfield","Ohio","59,979","13.6%","72.67%"
"Bibb","Georgia","59,681","13.63%","72.72%"
"Rankin","Mississippi","59,624","13.66%","72.77%"
"Washington","Maryland","59,411","13.69%","72.81%"
"Centre","Pennsylvania","59,006","13.72%","72.86%"
"Paulding","Georgia","58,608","13.76%","72.9%"
"Monroe","Indiana","58,264","13.79%","72.95%"
"Rowan","North Carolina","57,762","13.82%","72.99%"
"Hampton city","Virginia","57,740","13.85%","73.04%"
"Schuylkill","Pennsylvania","57,465","13.88%","73.08%"
"Canadian","Oklahoma","57,464","13.91%","73.13%"
"Sussex","New Jersey","57,328","13.94%","73.17%"
"Jackson","Mississippi","57,027","13.97%","73.22%"
"Randolph","North Carolina","56,970","14%","73.26%"
"Marathon","Wisconsin","56,873","14.03%","73.3%"
"Wilson","Tennessee","56,609","14.06%","73.35%"
"Berkshire","Massachusetts","56,517","14.1%","73.39%"
"Washington","Wisconsin","56,482","14.13%","73.44%"
"Orange","North Carolina","56,456","14.16%","73.48%"
"Washington","Tennessee","56,234","14.19%","73.52%"
"Lebanon","Pennsylvania","55,846","14.22%","73.57%"
"Randall","Texas","55,758","14.25%","73.61%"
"Sandoval","New Mexico","55,741","14.28%","73.65%"
"Cambria","Pennsylvania","55,692","14.31%","73.7%"
"Maui","Hawaii","55,485","14.34%","73.74%"
"Clark","Ohio","55,325","14.37%","73.78%"
"Coweta","Georgia","55,290","14.4%","73.83%"
"Fayette","Pennsylvania","54,962","14.44%","73.87%"
"Humboldt","California","54,878","14.47%","73.91%"
"Blount","Tennessee","54,449","14.5%","73.95%"
"Taylor","Texas","54,390","14.53%","74%"
"Scott","Minnesota","54,238","14.56%","74.04%"
"Parker","Texas","54,237","14.59%","74.08%"
"Warren","Kentucky","54,208","14.62%","74.12%"
"Clarke","Georgia","54,161","14.65%","74.16%"
"Wood","Ohio","54,156","14.68%","74.21%"
"Kennebec","Maine","53,936","14.71%","74.25%"
"Tazewell","Illinois","53,812","14.74%","74.29%"
"Black Hawk","Iowa","53,740","14.78%","74.33%"
"Coconino","Arizona","53,642","14.81%","74.37%"
"Chautauqua","New York","53,602","14.84%","74.42%"
"Ponce Municipio","Puerto Rico","53,587","14.87%","74.46%"
"Calhoun","Michigan","53,431","14.9%","74.5%"
"Cumberland","New Jersey","53,341","14.93%","74.54%"
"Grayson","Texas","53,325","14.96%","74.58%"
"Madison","Indiana","52,843","14.99%","74.62%"
"Wright","Minnesota","52,757","15.02%","74.66%"
"Florence","South Carolina","52,522","15.05%","74.7%"
"Columbia","Georgia","52,083","15.09%","74.74%"
"Washington","Rhode Island","52,048","15.12%","74.79%"
"Sebastian","Arkansas","51,951","15.15%","74.83%"
"Strafford","New Hampshire","51,684","15.18%","74.87%"
"Missoula","Montana","51,642","15.21%","74.91%"
"Skagit","Washington","51,518","15.24%","74.95%"
"Pickens","South Carolina","51,404","15.27%","74.99%"
"Livingston Parish","Louisiana","51,362","15.3%","75.03%"
"Douglas","Georgia","51,339","15.33%","75.07%"
"Stafford","Virginia","51,309","15.36%","75.11%"
"Spotsylvania","Virginia","51,289","15.39%","75.15%"
"Blair","Pennsylvania","50,548","15.43%","75.18%"
"La Crosse","Wisconsin","50,543","15.46%","75.22%"
"Linn","Oregon","50,534","15.49%","75.26%"
"Caguas Municipio","Puerto Rico","50,488","15.52%","75.3%"
"Cochise","Arizona","50,476","15.55%","75.34%"
"Henderson","North Carolina","50,423","15.58%","75.38%"
"Boone","Kentucky","50,341","15.61%","75.42%"
"Hunterdon","New Jersey","50,322","15.64%","75.46%"
"Flagler","Florida","50,296","15.67%","75.5%"
"Tangipahoa Parish","Louisiana","50,191","15.7%","75.54%"
"Richland","Ohio","50,068","15.73%","75.58%"
"Gallatin","Montana","50,031","15.77%","75.61%"
"Douglas","Kansas","49,939","15.8%","75.65%"
"Kaufman","Texas","49,703","15.83%","75.69%"
"Napa","California","49,663","15.86%","75.73%"
"Bossier Parish","Louisiana","49,661","15.89%","75.77%"
"Saline","Arkansas","49,589","15.92%","75.81%"
"Sheboygan","Wisconsin","49,426","15.95%","75.85%"
"Berkeley","West Virginia","49,384","15.98%","75.88%"
"Clark","Indiana","49,184","16.01%","75.92%"
"Wichita","Texas","48,935","16.04%","75.96%"
"Faulkner","Arkansas","48,866","16.07%","76%"
"Imperial","California","48,844","16.11%","76.04%"
"Morgan","Alabama","48,752","16.14%","76.07%"
"Rapides Parish","Louisiana","48,660","16.17%","76.11%"
"Harnett","North Carolina","48,639","16.2%","76.15%"
"Jasper","Missouri","48,367","16.23%","76.19%"
